Question,Answer
What is 2 plus 3?,2 plus 3 equals 5.
What is 2 + 3?,2 + 3 equals 5.
4 + 5 = ? ,4 + 5 equals 9
How do you find the area of a circle?,The area of a circle is πr².
What is the area of a circle with radius 4?,A circle with radius 4 has an area of 16π
The area of a square with an edge of 6?,Area of a circle which has an edge length 6 is calculated by 6 times 6. So area is 36
How to find the area of a square?,The area of a square (given it has an edge lenght of a) is a times a
What is 4 times 7?,4 * 7 is equal to 28
What is the perimeter of a square with edge length a?,"A square has 4 edges. If the edge lenght is a, the perimeter is 4a"
Perimeter of a square with edge lenght 8?,"A square with edge 8, has a perimeter of 4 * 8 = 32."
Perimeter of a circle?,The perimeter of a circle is 2πr.
20 divided by 5?,20 divided by 5 equals 4
"If 2x + 5 = 9, what is x?","To solve the question, first check: 2x = 4. If 2x equals 4, then x equals 2."
What is 15 plus 23?,15 plus 23 equals 38.
What is 20 + 30?,20 + 30 equals 50.
41 + 56 = ? ,41 + 56 equals 97
What is the area of a circle?,"The area of a circle is πr², where r is the radius."
Area of a circle with radius 8?,A circle with radius 8 has an area of 64π
"Square with an edge of 6, area?",Area of a circle which has an edge length 6 is calculated by 6 times 6. So area is 36
the area of a square?,The area of a square (given it has an edge lenght of a) is a times a
What is 9 times 12?,9 * 12 can be calculated by dividing into sub problem: 9 * 10 + 9 * 2. 90 + 18 equals 108
Perimeter of a square with edge length b?,"A square has 4 edges. If the edge lenght is a, the perimeter is 4b"
Perimeter of a square with edge lenght 2?,"A square with edge 2, has a perimeter of 4 * 8 = 32."
Perimeter of a circle with radius 3?,The perimeter of a circle is 6π
65 divided by 13?,65 divided by 13 is 5.
"If 3x - 28 = 5 , what is x?","To solve the question, first check: 3x = (5 + 28). If 3x equals 33, then x equals 11."
What is 18 divided by 42?,18 / 42 equals 0.43
Find the area of a rectangle with length 20 and width 20.,The area of a rectangle with length 20 and width 20 is 400.
"If 2x + 3 = 19, what is x?","To solve: 2x = 16, so x = 8."
"If I have 14 and 32, what is 14 - 32?",14 - 32 equals -18
What is the area of a circle with radius 10?,A circle with radius 10 has an area of 100π
"If 4x + 9 = 41, what is x?","To solve: 4x = 32, so x = 8."
What is 31 plus 41?,31 + 41 equals 72
Find the area of a rectangle with length 12 and width 1.,The area of a rectangle with length 12 and width 1 is 12.
"If 2x + 15 = 27, what is x?","To solve: 2x = 12, so x = 6."
What is 22 * 27?,22 * 27 equals 594
What is the area of a circle with radius 10?,A circle with radius 10 has an area of 100π
"If 1x + 19 = 28, what is x?","To solve: 1x = 9, so x = 9."
"If I have 29 and 33, what is 29 / 33?",29 / 33 equals 0.88
What is the perimeter of a square with side 6?,A square with side 6 has a perimeter of 24.
"If 5x + 18 = 43, what is x?","To solve: 5x = 25, so x = 5."
What is 21 * 13?,21 * 13 equals 273
What is the area of a triangle with base 9 and height 17?,The area of the triangle is 76.5.
"If 2x + 13 = 15, what is x?","To solve: 2x = 2, so x = 1."
What is 20 plus 29?,20 + 29 equals 49
What is the area of a circle with radius 19?,A circle with radius 19 has an area of 361π
"If 5x + 19 = 59, what is x?","To solve: 5x = 40, so x = 8."
What is 37 times 22?,37 * 22 equals 814
What is the area of a circle with radius 9?,A circle with radius 9 has an area of 81π
"If 1x + 15 = 22, what is x?","To solve: 1x = 7, so x = 7."
What is 41 divided by 17?,41 / 17 equals 2.41
What is the area of a circle with radius 9?,A circle with radius 9 has an area of 81π
"If 2x + 13 = 19, what is x?","To solve: 2x = 6, so x = 3."
42 - 10 = ?,42 - 10 equals 32
What is the area of a triangle with base 7 and height 11?,The area of the triangle is 38.5.
"If 2x + 2 = 20, what is x?","To solve: 2x = 18, so x = 9."
What is 3 plus 30?,3 + 30 equals 33
What is the area of a triangle with base 1 and height 8?,The area of the triangle is 4.0.
"If 2x + 11 = 31, what is x?","To solve: 2x = 20, so x = 10."
What is 46 minus 48?,46 - 48 equals -2
What is the area of a circle with radius 16?,A circle with radius 16 has an area of 256π
"If 3x + 3 = 12, what is x?","To solve: 3x = 9, so x = 3."
What is 14 times 32?,14 * 32 equals 448
What is the area of a circle with radius 13?,A circle with radius 13 has an area of 169π
"If 5x + 11 = 16, what is x?","To solve: 5x = 5, so x = 1."
"If I have 49 and 25, what is 49 + 25?",49 + 25 equals 74
Find the area of a rectangle with length 3 and width 9.,The area of a rectangle with length 3 and width 9 is 27.
"If 3x + 1 = 4, what is x?","To solve: 3x = 3, so x = 1."
20 * 31 = ?,20 * 31 equals 620
What is the area of a circle with radius 20?,A circle with radius 20 has an area of 400π
"If 5x + 10 = 35, what is x?","To solve: 5x = 25, so x = 5."
What is 13 - 31?,13 - 31 equals -18
What is the area of a circle with radius 14?,A circle with radius 14 has an area of 196π
"If 3x + 15 = 24, what is x?","To solve: 3x = 9, so x = 3."
What is 2 divided by 36?,2 / 36 equals 0.06
What is the area of a circle with radius 2?,A circle with radius 2 has an area of 4π
"If 1x + 18 = 26, what is x?","To solve: 1x = 8, so x = 8."
"If I have 43 and 36, what is 43 + 36?",43 + 36 equals 79
What is the area of a triangle with base 15 and height 17?,The area of the triangle is 127.5.
